Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE
ME8U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Industrial,2.059665024481862,2.059665024481862,2.0411927101983136,2.050428867340088,2382100,0.0,-0.047210176803154,-0.073517897441179,0.083073383666566,-0.0628101196327706,0.1628843498177813,42.2730385953763,2.117204451560974,2.079520223736763,0.968460493188717,0.9860105441319538,5341013.444444444,0.4460014985503895,-0.1205657586091556,-0.3170021343826077,5822541312,17.0,0.12,-0.081,0.49268,6.33,1.1496,52.571,0.06513
N2IU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,1.1308894344166869,1.140159010887146,1.1308894344166869,1.140159010887146,3803400,0.8196836227823523,-0.0080645244928856,-0.1561647367120396,0.0323354057365932,-0.1528624751709315,0.2289373948101753,52.06389157419578,1.1626307964324951,1.1735940062999726,0.9806716064856502,0.97151059460653,13697744.444444444,0.2776661526593592,-0.1837410426211851,-0.610519347822673,7552052736,11.0,0.13,-0.02,0.77168,5.57,0.6104,61.463,0.07288
O39.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,15.596291404018729,15.737648963928224,15.549173415672922,15.737648963928224,4092100,1.0895873097784614,0.0257985001396772,0.105960225399234,0.1643816555703596,0.374288844882136,0.1386807219059455,57.808084023613816,15.209919757843018,13.749266929626463,1.0346963833134677,1.144617312652303,5323851.603174604,0.7686352485031491,-0.0176470420153719,2.3632900213602537,95788687360,13.166667,1.62,0.065,0.53208,3.94,0.5052,52.7045,0.12198
OV8.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Grocery Stores,1.595661997795105,1.595661997795105,1.5763206584119545,1.595661997795105,569200,0.0,0.0185184720179474,0.0784314246811528,0.1383666551543401,0.0683639159218063,0.1029021873219687,58.33237247522556,1.5751601648330689,1.471803413629532,1.0130157132079385,1.0841542987457355,1810015.873015873,0.3144723803176329,-0.0119760430422147,0.6938393423155664,3924231424,26.099998,0.1,0.144,0.09443,2.44,0.6653,18.314,0.27087
P34.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Confectioners,0.7693418577488427,0.7693418577488427,0.7597250938415527,0.7597250938415527,201900,-1.2500024210889582,-0.0246913306292251,-0.091953992690506,-0.0663610223677275,-0.2522334895659411,0.2166739191223641,45.36630942255644,0.7925182700157165,0.7999931046366692,0.958621551811653,0.9496645526546073,304849.20634920633,0.6622946551769024,-0.2522334895659411,-1.2319845266639782,641714816,14.999999,0.07,-0.005,0.06645,4.34,0.4037,5.209,0.12222
P8Z.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Farm Products,0.7667326331138611,0.7667326331138611,0.7623261279546756,0.7667326331138611,167600,0.5780349984479738,0.0357143058430049,0.1599999963929337,0.282240215467058,0.5924149946964434,0.2306415707957137,54.09728717896347,0.7397647738456726,0.6417410007119179,1.0364546410178412,1.194769591257662,822928.5714285715,0.2036628764864161,-0.0491802830349828,2.1328823945207427,2341094400,11.25,0.12,0.282,0.14288001,4.61,0.5389,19.871,0.20445
QC7.SI,2024-12-30 00:00:00+08:00,Healthcare,Medical Care Facilities,0.2709789276123047,0.2709789276123047,0.2709789276123047,0.2709789276123047,54500,0.0,-0.0175438748141392,-0.0175438748141392,0.1597258404798929,0.1399561634595829,0.3171358106605965,47.66574676743777,0.2790115159749984,0.2551931729167699,0.971210549017577,1.0618580603670114,433765.07936507935,0.1256440469568781,-0.1111111111111111,0.5694137888675314,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992
QES.SI,2024-12-30 00:00:00+08:00,Basic Materials,Specialty Chemicals,0.4131483004152198,0.4178431630134582,0.4131483004152198,0.4178431630134582,312400,1.1363592918884446,-0.0326087099018421,-0.0631579214646406,0.1410255899005998,0.1829113586569886,0.2208776459741219,42.137947608568766,0.4256366550922393,0.3879963925480842,0.9816898004776112,1.0769253813659494,241287.3015873016,1.2947220924801497,-0.0918367723685513,0.8701007641581859,724570880,8.444444,0.09,-0.034,0.13822,2.63,0.2219,,0.115389995
S58.SI,2024-12-30 00:00:00+08:00,Industrials,Airports & Air Services,3.5902310514340723,3.6295760107076855,3.570558571797265,3.619739770889282,2044200,0.5464518149143283,-0.0315789077538104,0.0233778267055679,0.3115302844822796,0.3595716472649459,0.2596184542362202,48.06851861088754,3.709643716812134,3.158362313508988,0.9757648030954006,1.1460812318481906,5195784.952380952,0.3934342969801419,-0.0787047959839042,1.3107684887593205,5826167296,23.058825,0.17,0.091,0.04259,1.42,0.2924,144.476,0.09986
S63.SI,2024-12-30 00:00:00+08:00,Industrials,Aerospace & Defense,4.500154307188514,4.5392860472650725,4.500154307188514,4.529503345489502,3626100,0.6521849467237439,0.0288890913173394,0.0023162134094523,0.1061333146397653,0.2481688038642411,0.1728314940279986,58.35718345278211,4.479101305007935,4.19378376364708,1.011252712776381,1.080051714814802,4605805.095238095,0.7872890678220396,-0.0289411422666804,1.3693467813914757,30862768128,41.25,0.24,0.072,0.06585,1.6,0.695,181.381,0.26977
